#,"Are you requesting a ""skills"" or ""topics"" addition?",What skill would you like added as an option to the Contently portfolio page?,What topic would you like added as an option to the Contently portfolio page?,Start Date (UTC),Submit Date (UTC),Network ID
zujkfuj5fzre3sf67r3jkvzujkfujx6i,Topics,,Website Copy ,9/20/19 18:12,9/20/19 18:13,9610a29ede
wo614cjkztith3rvnwo61h15g6181fjk,Topics,,Productivity,8/19/19 21:37,8/19/19 21:38,4359f28a41
dmtz5asojcvh2e226y3ukdmtz5avj9j4,Topics,,Recruiting & Staffing,8/16/19 18:35,8/16/19 18:36,73c1ce737b
yul4g6lswbeyu77yul4g79iyvi6fre8a,Topics,,Human Resources,8/16/19 18:34,8/16/19 18:35,73c1ce737b
7yquunh69uoem3ijw67yquunts666tsa,Skills,Website page,,8/16/19 18:34,8/16/19 18:34,73c1ce737b
4d3do6e9herh69b0plrl104d3do6esm1,Topics,,Culture,8/4/19 8:07,8/4/19 8:07,30223a242f
75as14ckskyiq7faru375uo6mze4z5sl,Topics,,Trends,8/4/19 8:07,8/4/19 8:07,30223a242f
xnzlllxzenv8rxvfuxnzcqo2q1iyb4rn,Topics,,Style,8/4/19 8:06,8/4/19 8:07,30223a242f
oe70cpm2jx5n3joe75xg7u90oe3lrdbq,Topics,,Fashion,8/4/19 8:06,8/4/19 8:06,30223a242f
6e977443c169230afcae7eed90c97c11,Topics,,History,7/25/19 15:21,7/25/19 15:22,1ffa608d9c
1373415562af5ba2fb709521ca769ba6,Topics,,Cannabis/MMJ/CBD ,7/22/19 17:45,7/22/19 17:48,02374102f6
ad4cd78021b5a0c763e5a26c7f500675,Skills,travel writing,,6/20/19 13:39,6/20/19 13:39,3afb165f4a
0127e09f40fd5960dd6bbaee625ec898,Topics,,tourist destination,6/20/19 13:38,6/20/19 13:38,3afb165f4a
ad3ff0429cad8a98f2462652a613cac1,Topics,,Travel,6/20/19 13:36,6/20/19 13:38,3afb165f4a
358d2b580ecef93eda6ba44f6e8f25d5,Topics,,Marketing,6/20/19 13:16,6/20/19 13:35,3afb165f4a
5bbdfc35472e6d09e8e19e315353eb8d,Topics,,Energy,6/20/19 11:00,6/20/19 11:01,7c88cca292
daa84a4896360f60ed3f067c359d985a,Topics,,Decluttering,5/23/19 10:09,5/23/19 10:09,605620688f
9700e72bc9121918155e326516919b22,Topics,,block chain,5/21/19 16:05,5/21/19 16:05,38816eafe6
8d5822022a91f79d68de386be5885445,Topics,,Luxury,5/16/19 15:35,5/16/19 15:35,1a1ec85d5d
97c876859a6742d586d3bdf96fc9022b,Topics,,Architecture,5/16/19 15:34,5/16/19 15:35,1a1ec85d5d
c7c601488f36e3ce0f07fa1567a08d27,Skills,Producer ,,3/7/19 21:55,3/7/19 21:56,7fadc6dbe4
128f4a6ccd08f1ed262cdc4fb3a40052,Skills,Analysis,,2/27/19 22:03,2/27/19 22:04,88d4e46ee2
f5f32d6ceb93fbdeeeaf70744b67a24c,Topics,,military,2/1/19 21:13,2/1/19 21:14,bf4a1d5cda
d41d2a70dffd7ea6adc3e02a5c501539,Topics,,nonprofits ,2/1/19 21:12,2/1/19 21:13,bf4a1d5cda
ac924c9a7c7d1b73f1e977ce81c00df4,Topics,,LGBTQ,1/4/19 18:54,1/4/19 18:54,99727c835d
b5e56b28e0c4defa5f71cc1cdfdac72c,Topics,,Disabilities,1/4/19 18:53,1/4/19 18:53,99727c835d
e1743f31e795d79e827fbf8fcd0a21d1,Topics,,LGBT,11/26/18 17:54,11/26/18 17:55,9761539743
db39c07431d17566f2fb40b652272e3e,Topics,,Spirituality,11/14/18 1:48,11/14/18 1:49,5dc4ac567e
7a6d51a3e1b6c4c21daa4de5d2e536bd,Topics,,Health and Wellness,11/14/18 1:47,11/14/18 1:48,5dc4ac567e
b502dd96b34d6cb8a963dc829446784e,Skills,Producer ,,10/29/18 0:26,10/29/18 0:27,c593766563
6d6d48d497edc1f86b1b46e27fec1d40,Topics,,Information Technology,8/2/18 21:14,8/2/18 21:15,5a554e5ece
9da82a3592e8628094d4943450059d8e,Skills,Technical Editing,,7/11/18 21:01,7/11/18 21:02,0e232d7c50
bffde03c1e6cf2e665d6a4c269636895,Skills,Substantive Editing,,7/11/18 21:00,7/11/18 21:01,0e232d7c50
1d0d04be323fc444a79b19d97df7c908,Topics,,User experience,6/9/18 16:49,6/9/18 16:54,3509d1c9f9
d130382d1b5768a14549ee4c8c476bf4,Topics,,Philanthropy,5/22/18 20:32,5/22/18 20:33,20e3f9991c
eac07c408d7875a173afa39c1f3c39aa,Topics,,Data analytics,5/22/18 20:32,5/22/18 20:32,20e3f9991c
a0450e0a189e0a2f34ccd71d70bf51ba,Topics,,Nonprofit,5/22/18 20:31,5/22/18 20:31,20e3f9991c
88ba85a0d23060e15d011f5c1adbfe93,Topics,,IoT (Internet of Things),3/22/18 20:03,3/22/18 20:03,cf82999d32
111741f62fd121a2d6de54a1c852d3fd,Topics,,Associations,3/22/18 20:03,3/22/18 20:03,cf82999d32
b11172a26bfa7e2b13e4cddee5a81ba4,Topics,,Nonprofit,3/22/18 20:02,3/22/18 20:03,cf82999d32
f7de18f617840d5fd6f9181a464b889c,Topics,,Cloud technology,3/22/18 20:02,3/22/18 20:02,cf82999d32
39915d8be3a3e626ac1ae6791c326bcc,Topics,,Data analytics,3/22/18 20:01,3/22/18 20:02,cf82999d32
0860f69440b32e7a3737e0e341bfe46d,Topics,,Technology,3/22/18 20:00,3/22/18 20:01,cf82999d32
353fb2ced748135b825eca294aea7b71,Topics,,Energy,3/8/18 20:44,3/8/18 20:44,c3e8bb2dd2
f38b38f6406523556c159e779da64351,Topics,,Hostpial & Healthcare,2/20/18 21:34,2/20/18 21:35,b44d8e39b8
c4a8d4f8e6d03c20dc11878c3efe82a3,Topics,,Stocks & Bonds,2/2/18 15:56,2/2/18 15:58,c411ec3ea3
fe7ca076fb90a27e6ffee6bdf8257d74,Topics,,Commodities & Futures Tra,2/2/18 15:56,2/2/18 15:56,c411ec3ea3
1823ec7c5517a9cf69b85cbcb937253a,Topics,,Health Insurance,2/2/18 15:56,2/2/18 15:56,c411ec3ea3
0fb34ab77bbcbe6e564459d0cbdd1482,Topics,,Credit Reporting & Monito,2/2/18 15:55,2/2/18 15:56,c411ec3ea3
ab4cbb3f8577d6d5419ec029b5193ff4,Topics,,Credit Cards,2/2/18 15:55,2/2/18 15:55,c411ec3ea3
facaa2b92a0a1bece4d8d49f3ce02e1a,Topics,,Financial Planning & Mana,2/2/18 15:54,2/2/18 15:55,c411ec3ea3
414f15fd68ccd5c6af66d41c1d3bdb90,Topics,,Credit & Lending,2/2/18 15:49,2/2/18 15:54,c411ec3ea3
d91c070b5c1b6ce0f04f98a88627cca8,Topics,,Retirement,1/31/18 22:03,1/31/18 22:03,c411ec3ea3
c5b0de9aa4e85b3651e34363a991e000,Topics,,Personal Finance,1/31/18 21:59,1/31/18 22:03,c411ec3ea3
72ecb5b6e243866b00b2d76f8e79cd5a,Topics,,student loans,1/11/18 21:58,1/11/18 21:58,5b81cd5fe5
5acc6127e415311a25d85cc17d019e6e,Topics,,credit scoring,1/11/18 21:58,1/11/18 21:58,5b81cd5fe5
6a7e7e3366fe5c59fb1a515a35a22f08,Topics,,credit cards,1/11/18 21:58,1/11/18 21:58,5b81cd5fe5
16b42bcd81588ded34500ca7092da41f,Topics,,Credit,1/11/18 21:57,1/11/18 21:57,5b81cd5fe5
df8b2546d62f71e2b14dc2dc9d70d9dd,Skills,interviewing,,1/7/18 23:27,1/7/18 23:27,d92065b6c7
5ba51307e958331d3d3e2039bfcc6a0e,Topics,,productivity,1/6/18 1:13,1/6/18 1:13,7e7849788b
1b0809c0dc2427cd84f0796eccebb057,Topics,,data security,1/6/18 1:08,1/6/18 1:12,7e7849788b
9892f06cb994199b82582866a99c9cff,Topics,,marketing,1/5/18 17:25,1/5/18 17:25,0921555f79
aea925afea4322ee514c74522e83528c,Skills,Whitepaper writing,,1/5/18 17:11,1/5/18 17:12,0921555f79
da38dd17c0b2b15a90bf200ce838b048,Skills,Project Management,,1/5/18 17:09,1/5/18 17:10,0921555f79
cc4db6f8ca1ec270c5bedfdecce1e35f,Topics,,Lifestyle,1/4/18 18:47,1/4/18 18:48,8893ee7372
a29f0b474b4996657fa79766bc849797,Topics,,Grief,1/3/18 22:30,1/3/18 22:30,c90f779b4d
893b96f7d98bcb73af0774c15b4f2640,Topics,,Parenting,1/3/18 22:29,1/3/18 22:29,c90f779b4d
e982cdea53226940bb15c0db04cfc495,Topics,,Entrepreneurship,1/3/18 22:28,1/3/18 22:29,c90f779b4d
dc404e59a0cf7a71b6e40b7092396b9b,Topics,,Expatriation,1/2/18 18:27,1/2/18 18:27,bd115ab003
a58763b56389d4cd78c5bbf3e0a42f82,Topics,,Diabetes,1/2/18 18:14,1/2/18 18:14,1a89589693
54cc0ee92f9c80a69e95d8b62f197624,Topics,,Disease,1/2/18 18:14,1/2/18 18:14,1a89589693
3fd27ffc9ce862551f9fa889552aff19,Topics,,Physical Activity,1/2/18 18:14,1/2/18 18:14,1a89589693
748a22b81fecb5414a94be992a98fef6,Topics,,Exercise,1/2/18 18:13,1/2/18 18:14,1a89589693
b1b3753cb569dd02fe64b3055803a1e3,Topics,,Diet,1/2/18 18:13,1/2/18 18:13,1a89589693
51687096136b8ae728eb0bcdb665a30d,Topics,,Food,1/2/18 18:13,1/2/18 18:13,1a89589693
40914041b626c3a136897545b7acf203,Topics,,Weight lifting,1/2/18 18:12,1/2/18 18:13,1a89589693
13bfbf16cb9efe95ed3500e5cc5cea6e,Topics,,Vegan,1/2/18 18:12,1/2/18 18:12,1a89589693
71b3ad93720222c14280f4a05520678c,Topics,,Plant-based,1/2/18 18:11,1/2/18 18:12,1a89589693
c448570c8e4b6f2c38c1064589065a33,Topics,,Obesity,1/2/18 18:11,1/2/18 18:11,1a89589693
cf22739d96f0d190d2fe4dafa967db0e,Skills,Editing,,1/2/18 18:11,1/2/18 18:11,1a89589693
c1659817a26bcd4a46d3369b7c9efeb1,Topics,,Exercise,1/2/18 18:10,1/2/18 18:11,1a89589693
04c708ea985118f14eddfca44a097c90,Topics,,Health,1/2/18 18:10,1/2/18 18:10,1a89589693
401e315d97ee90b4c3fcbd9eeccf69bc,Topics,,Fitness,1/2/18 18:10,1/2/18 18:10,1a89589693
38f274c9855dd0f18250fd982869f5fe,Topics,,Weight loss,1/2/18 18:09,1/2/18 18:09,1a89589693
376b8d3d6fdd23dd0fd1844c710d6bca,Skills,Writing,,1/2/18 18:08,1/2/18 18:09,1a89589693
ea17cc5caddb9a38988aa30edf623232,Topics,,Nutrition,1/2/18 18:08,1/2/18 18:08,1a89589693
6a978ff4e3a22fa233de06e51d11abd3,Topics,,Pregnancy/maternity,1/2/18 18:05,1/2/18 18:06,bd115ab003
d9e6c44ffe23c3484fc7a3133279af8d,Topics,,children,1/2/18 14:35,1/2/18 14:35,59cc1568a9
a21ac85194606a99e3e95a462939ccf4,Topics,,parenting,1/2/18 14:34,1/2/18 14:35,59cc1568a9
9898d6398620c0cd54a53e696638dc8c,Topics,,Small businesses,1/1/18 0:22,1/1/18 0:23,cfa27b1d89
7b8f484260d176324ec222907d3e7188,Topics,,parenting,12/30/17 4:03,12/30/17 4:03,007639b910
80f4f13b8ffd88954022c83de691437e,Topics,,Marketing,12/29/17 19:21,12/29/17 19:21,3e4e088316
602804c38bfee8f70470dc5aac7a1a75,Topics,,women's studies,12/21/17 17:09,12/21/17 17:09,6bdb42e879
a7ac98be428d08edfe1e2e79bd35073a,Skills,pitching,,12/21/17 17:08,12/21/17 17:09,6bdb42e879
0d28129245a3aa23598bc8ce23a29748,Skills,research,,12/21/17 17:08,12/21/17 17:08,6bdb42e879
10edebaf8e9b09a6835b54ff8b59afed,Topics,,technology,12/21/17 17:08,12/21/17 17:08,6bdb42e879
e034e6e766ab9cd497d0f90102e37b2e,Topics,,gender studies,12/21/17 17:07,12/21/17 17:08,6bdb42e879
3114b1e53cdf78b9b7eef3cd5d591c3f,Topics,,"workplace, entrepreneur, ",12/21/17 17:06,12/21/17 17:07,6bdb42e879
979808d06d0e2f24d04a1b76be1fc280,Skills,Book writing,,12/21/17 14:39,12/21/17 14:39,1878fe9312
f7853bf352fcc66112152d168a7e0832,Skills,Recipe development,,12/20/17 23:35,12/20/17 23:36,86d3a16e9a
ca5aa5ca14cfa72ea68e11914c7819f9,Topics,,Health,12/20/17 19:20,12/20/17 19:22,71cf61b39b
7b7ccd62b62344e5e678bf50973d6049,Skills,essay writing,,12/18/17 15:20,12/18/17 15:20,926a1b7135
f7920a40e11191349395f360aa24036c,Topics,,urbanism,12/18/17 15:19,12/18/17 15:20,926a1b7135
04db8740a402a44807d7697d728e129a,Topics,,archaeology,12/18/17 15:19,12/18/17 15:19,926a1b7135
f5b1f5d0025fc31c073b96784b034810,Skills,"writing, editing, researc",,12/18/17 0:34,12/18/17 0:36,d6f99431a7
8d207959b709be560bb7cf41ac288983,Skills,Under Format: Podcast,,12/16/17 14:02,12/16/17 14:02,5c0a0d613a
7743304033a917672d5caa1df681913f,Topics,,Urban development,12/16/17 2:09,12/16/17 2:10,62c71e8d27
b7c3f3db3bc10f9ce9f93a932f6bedba,Topics,,self help,12/15/17 20:42,12/15/17 20:43,7b836056b8
7c2d92f7e637db73501d1d4caf9d6976,Skills,research,,12/15/17 20:33,12/15/17 20:33,7b836056b8
654ec4f8adc29b9c4aa1f0ba2a1c9a53,Skills,narrative nonfiction,,12/15/17 20:32,12/15/17 20:33,7b836056b8
0e264af4bf386985c9509bada87e4076,Skills,feature writing,,12/15/17 20:32,12/15/17 20:32,7b836056b8
baaf57e07ec450955397926728cd784b,Topics,,LGBT,12/15/17 20:31,12/15/17 20:32,7b836056b8
a3cf1e9caf23673087acacb0cae96fdc,Topics,,Presentation Skills,12/15/17 12:43,12/15/17 12:43,c0d34a70c5
71b6d14fc1ea7f14b1dd9e6a73efc55e,Skills,Research,,12/15/17 2:47,12/15/17 2:49,3e4be9f33d
ebfe513711c6ce091aa2c21cbe478074,Topics,,Sustainability,12/14/17 22:56,12/14/17 22:56,80086936d3
edba8892d9265d676a980a03c8a501b7,Topics,,Writing and editing,12/14/17 20:31,12/14/17 20:31,62c71e8d27
b3970d1c27e7761692a50518654ede51,Topics,,Editorial guidelines,12/14/17 17:48,12/14/17 17:49,62c71e8d27
f1e4f01ca4aa0c8e3e4c27fb6fec9e43,Skills,Teaching,,12/14/17 17:48,12/14/17 17:48,62c71e8d27
697d2855c48dbb7b32fb6c59751e2e57,Skills,Mentoring writers,,12/14/17 17:47,12/14/17 17:48,62c71e8d27
f852ef12cdfcfd47b12111f189101a7e,Skills,Photo research,,12/14/17 16:48,12/14/17 16:48,512d73b98d
c0cebec3d36212251d7a7b77594ec10b,Skills,Trend Forecasting,,12/14/17 16:48,12/14/17 16:48,512d73b98d
cd9962200f08d7300f162ac7d38124d8,Skills,Research,,12/14/17 1:08,12/14/17 1:08,3a7ca9ce9f
25260fd5dc463630732a66087e0f92d7,Topics,,Journalism,12/14/17 1:02,12/14/17 1:03,3a7ca9ce9f
18cc114be041d02663c50184f66557cb,Topics,,NESTED topics ,12/13/17 18:03,12/13/17 18:03,ff55567328
5062047ea819b8439b88db5aa5db2c6d,Skills,"research, ",,12/13/17 6:06,12/13/17 13:11,e734c2a746
0c340c579028e55d48b1491d36fcd276,Topics,,Marketing,12/13/17 2:35,12/13/17 2:35,b4deeb2c3d
3530ff8808758b306f94499092252110,Skills,Research,,12/13/17 2:31,12/13/17 2:31,b4deeb2c3d
6fc92ff708fdebce86c5e189208d11c7,Topics,,Negotiation,12/12/17 15:45,12/12/17 15:45,58940f51aa
a18290ba9e39461e213480afa49d3da4,Topics,,Sales,12/12/17 15:45,12/12/17 15:45,58940f51aa
3548b170a96f0a0cf44ca432412186fd,Topics,,Small Business,12/12/17 15:36,12/12/17 15:36,58940f51aa
7163ea1573d53a31db4b05e727b0c51c,Topics,,Feminism,12/12/17 13:59,12/12/17 14:00,e37d97d3af
ca911dbc794261fcd90ce715bcfde417,Topics,,Content in Spanish,12/12/17 13:15,12/12/17 13:16,6eb1adac6f
124bee034ddbc09bbfe0921a6f6fc905,Skills,Bilingual ,,12/12/17 13:13,12/12/17 13:14,6eb1adac6f
e01f374cd085bf65b10fe64aba6f2686,Topics,,Career advice (or tips),12/12/17 6:39,12/12/17 6:40,62c71e8d27
a05c916cd937631ed0e21e3921c66c7a,Topics,,Influencer marketing,12/12/17 6:39,12/12/17 6:39,62c71e8d27
cafcb62f155c414ea8ee783fcbca3974,Topics,,Marketing,12/12/17 6:39,12/12/17 6:39,62c71e8d27
3e25caeaec8020208d4ec98f2ce3850e,Topics,,Tech startups,12/12/17 6:38,12/12/17 6:39,62c71e8d27
9462918452838c03e888d0ec3ca32118,Skills,Inspirational writing,,12/12/17 6:28,12/12/17 6:29,62c71e8d27
5fb9c70546e805e838ae7ad856072785,Skills,Travel writing,,12/12/17 6:28,12/12/17 6:28,62c71e8d27
60b54aa42a6b00a58480da2dc76555cd,Skills,Personal narrative,,12/12/17 6:27,12/12/17 6:28,62c71e8d27
5f7a3165c2bf7fdc1e239cdeccbbe2db,Skills,Expository writing,,12/12/17 6:27,12/12/17 6:27,62c71e8d27
3b684385cbf5cabce722014896b4dfc1,Skills,Essay writing,,12/12/17 6:26,12/12/17 6:27,62c71e8d27
d65149b70faa32ccfa046846821a9a78,Skills,Developmental editing,,12/12/17 6:25,12/12/17 6:25,62c71e8d27
f6f313cbf4ffa58c3e34fbf705d8ff3a,Skills,Editorial direction,,12/12/17 6:21,12/12/17 6:25,62c71e8d27
dd25b37df4eb3047afa2322c8262a27a,Skills,Typography,,12/12/17 4:06,12/12/17 4:06,3b273e63c7
30d5ed0f41bb270b119e853b1c323115,Skills,Research,,12/12/17 2:15,12/12/17 2:15,153518c909
e1b889ffb784dc27b7268a423d4fd7f7,Skills,Data analysis,,12/12/17 2:09,12/12/17 2:10,153518c909
4fe0612825e39c966f458eee622c5cd6,Topics,,sexual health,12/12/17 0:25,12/12/17 0:25,bcef5b020b
3c14e207d70a94cd33b3eaf2a471f8e1,Topics,,Sexuality,12/12/17 0:24,12/12/17 0:24,bcef5b020b
0f351edfd5c408f2dafe913c6cdbecd3,Skills,Research,,12/11/17 22:17,12/11/17 22:17,6d1dae2ef1
980b4befb7cf85167a49704c2ef57213,Topics,,marketing,12/11/17 20:08,12/11/17 20:08,d7a214283e
e764b3a42ec04d3c383a6316de0594c3,Topics,,Marketing,12/11/17 19:46,12/11/17 19:46,c76ca43e1a
152dd82a32ff2ce973101d9e02721c0d,Topics,,Employee Benefits,12/11/17 19:32,12/11/17 19:32,6d1dae2ef1
7644d89ef3323dbb8a7a53b6c255cdfc,Topics,,Human Resources,12/11/17 19:31,12/11/17 19:32,6d1dae2ef1
cdc33a59fcb70e80dfacbbd64a3f5ede,Topics,,Marketing,12/11/17 19:31,12/11/17 19:31,6d1dae2ef1
e02199954a43fb7cd0a773d57c279014,Skills,Newswriting,,12/11/17 19:21,12/11/17 19:22,694cc1f425
62eff44458e5a5c0bd55c7863c7708e1,Skills,Fact-checking,,12/11/17 19:16,12/11/17 19:17,2a1ced8c1c
558972fa21dc47dccb9af6b49704650f,Skills,Reporting,,12/11/17 19:15,12/11/17 19:16,2a1ced8c1c
ddd8110df81a825aa482b7d84885aa18,Topics,,Finance,12/11/17 19:13,12/11/17 19:14,ae9903b77e